MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,001;0,3;01:05;00:03;20000;143,6293;0,22674;0;150
0,001;0,25;01:04;00:04;20000;143,6293;0,2435381;0;176
0,001;0,2;01:03;00:05;20000;143,6293;0,2591451;0;213
0,001;0,15;01:03;00:07;20000;143,6293;0,2730236;0;264
0,001;0,1;01:04;00:11;20000;143,6293;0,2885778;0;355
0,001;0,05;01:04;00:25;20000;143,6293;0,3128748;0;637
0,001;0,04;01:04;00:33;20000;143,6293;0,3206962;0;818
0,001;0,03;01:03;00:47;20000;143,6293;0,3310171;0;1198
0,001;0,02;01:03;01:15;20000;143,6293;0,3434528;0;2260
0,001;0,015;01:04;01:43;20000;143,6293;0,3495476;0;3803
0,001;0,01;01:04;02:39;20000;143,6293;0,3570766;0;8500
0,001;0,009;01:04;02:58;20000;143,6293;0,3586691;0;10528
0,001;0,008;01:04;03:23;20000;143,6293;0,3604581;0;13327
0,001;0,007;01:06;03:50;20000;143,6293;0,3621379;0;17200
0,001;0,006;01:05;04:21;20000;143,6293;0,3635426;0;22508
0,001;0,0055;01:07;04:34;20000;143,6293;0,3641979;0;25798
0,001;0,005;01:05;04:49;20000;143,6293;0,3647265;0;29536
