MinThreshold;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,15;00:02;00:00;20000;143,6293;0,07935742;0,1697879;1
0,1;00:02;00:00;20000;143,6293;0,08914909;0,1985519;1
0,05;00:02;00:01;20000;143,6293;0,1153812;0,2636065;2
0,04;00:02;00:01;20000;143,6293;0,1222532;0,2856182;2
0,03;00:02;00:01;20000;143,6293;0,131268;0,3181106;3
0,02;00:02;00:01;20000;143,6293;0,1412288;0,3631507;4
0,01;00:02;00:02;20000;143,6293;0,1792056;0,4720786;9
0,005;00:02;00:02;20000;143,6293;0,2119122;0,5785049;19
0,001;00:02;00:02;20000;143,6293;0,2615209;0,8040352;80
0,0005;00:02;00:03;20000;143,6293;0,2723869;0,8616154;127
0,0004;00:02;00:03;20000;143,6293;0,2749212;0,8760855;146
0,0003;00:02;00:03;20000;143,6293;0,2782828;0,8937875;174
0,0002;00:02;00:03;20000;143,6293;0,2813375;0,9135334;220
0,0001;00:02;00:03;20000;143,6293;0,2860869;0,9394245;316
5E-05;00:02;00:03;20000;143,6293;0,28885;0,9560348;446
4E-05;00:02;00:03;20000;143,6293;0,2895061;0,96014;496
3E-05;00:02;00:03;20000;143,6293;0,2901983;0,9648761;575
2E-05;00:02;00:03;20000;143,6293;0,2910074;0,9703118;707
1,5E-05;00:02;00:03;20000;143,6293;0,2913772;0,9732823;837
1E-05;00:02;00:04;20000;143,6293;0,2921436;0,9771783;1093
0;00:02;00:04;20000;143,6293;0,2926096;0,9823896;2070
