MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,001;0,3;04:48;00:04;20000;143,6293;0,2411024;0;305
0,001;0,25;04:44;00:06;20000;143,6293;0,2565373;0;369
0,001;0,2;04:44;00:07;20000;143,6293;0,2727876;0;468
0,001;0,15;04:49;00:10;20000;143,6293;0,2897879;0;608
0,001;0,1;04:51;00:18;20000;143,6293;0,3076522;0;867
0,001;0,05;04:51;00:46;20000;143,6293;0,3337922;0;1662
0,001;0,04;04:50;01:00;20000;143,6293;0,3425941;0;2138
0,001;0,03;04:46;01:28;20000;143,6293;0,3539265;0;3130
0,001;0,02;04:51;02:37;20000;143,6293;0,3673964;0;5971
0,001;0,015;04:47;03:49;20000;143,6293;0,3747582;0;10389
0,001;0,01;04:47;07:34;20000;143,6293;0,383745;0;25859
0,001;0,009;04:53;08:47;20000;143,6293;0,3856767;0;33157
0,001;0,008;04:59;10:11;20000;143,6293;0,3876599;0;43693
0,001;0,007;04:54;11:43;20000;143,6293;0,3892591;0;58744
0,001;0,006;04:54;13:20;20000;143,6293;0,390688;0;79511
0,001;0,0055;04:54;14:04;20000;143,6293;0,3912648;0;92405
0,001;0,005;04:53;14:39;20000;143,6293;0,3917644;0;106959
