MinThreshold;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,15;00:11;00:00;20000;143,6293;0,07593361;0,1697879;1
0,1;00:11;00:01;20000;143,6293;0,06563526;0,1985519;1
0,05;00:11;00:01;20000;143,6293;0,04043487;0,2636065;2
0,04;00:10;00:01;20000;143,6293;0,04563784;0,2856182;3
0,03;00:11;00:01;20000;143,6293;0,09703952;0,3181106;4
0,02;00:11;00:01;20000;143,6293;0,1085286;0,3631507;6
0,01;00:10;00:02;20000;143,6293;0,1551313;0,4720786;14
0,005;00:10;00:02;20000;143,6293;0,1887783;0,5785049;32
0,001;00:10;00:03;20000;143,6293;0,2400007;0,8040352;202
0,0005;00:10;00:04;20000;143,6293;0,2502492;0,8616154;409
0,0004;00:10;00:04;20000;143,6293;0,2508797;0,8760855;514
0,0003;00:10;00:04;20000;143,6293;0,2509952;0,8937875;685
0,0002;00:10;00:04;20000;143,6293;0,2522455;0,9135334;1031
0,0001;00:10;00:06;20000;143,6293;0,2538955;0,9394245;2052
5E-05;00:10;00:09;20000;143,6293;0,2557642;0,9560348;4114
4E-05;00:10;00:10;20000;143,6293;0,2558202;0,96014;5189
3E-05;00:10;00:13;20000;143,6293;0,2562184;0,9648761;7046
2E-05;00:10;00:19;20000;143,6293;0,2562475;0,9703118;11092
1,5E-05;00:10;00:28;20000;143,6293;0,2561311;0,9732823;15768
1E-05;00:10;00:53;20000;143,6293;0,2555828;0,9771783;27817
0;00:11;05:27;20000;143,6293;0,2533576;0,9823896;117180
