RareWordFreq;SeqThreshold;TrainTime;LookupWords;LookupSeq;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,15;0,005;00:13;5;5;00:13;20000;163,2598;69,1209;0,7235472;138
0,15;0,005;00:13;10;10;00:13;20000;163,2598;75,6915;0,7436263;138
0,15;0,005;00:13;15;15;00:13;20000;163,2598;78,7572;0,7504068;138
0,15;0,005;00:13;20;20;00:14;20000;163,2598;80,5435;0,7524336;138
0,15;0,005;00:13;25;25;00:15;20000;163,2598;82,31965;0,7603499;138
0,15;0,005;00:13;30;30;00:16;20000;163,2598;83,75045;0,7671591;138
0,15;0,005;00:13;35;35;00:18;20000;163,2598;85,0782;0,773683;138
0,15;0,005;00:13;40;40;00:20;20000;163,2598;85,9911;0,7775866;138
0,15;0,005;00:13;45;45;00:19;20000;163,2598;86,7992;0,7813013;138
0,15;0,005;00:13;50;50;00:20;20000;163,2598;87,5127;0,7847734;138
0,1;0,005;00:13;5;5;00:24;20000;163,2598;72,6401;0,7650099;253
0,1;0,005;00:13;10;10;00:22;20000;163,2598;79,6123;0,7856907;253
0,1;0,005;00:13;15;15;00:24;20000;163,2598;82,7711;0,7923983;253
0,1;0,005;00:13;20;20;00:24;20000;163,2598;84,60575;0,7942967;253
0,1;0,005;00:13;25;25;00:28;20000;163,2598;86,4464;0,8020774;253
0,1;0,005;00:13;30;30;00:25;20000;163,2598;87,94975;0,8090271;253
0,1;0,005;00:13;35;35;00:26;20000;163,2598;89,35915;0,8158607;253
0,1;0,005;00:13;40;40;00:28;20000;163,2598;90,34005;0,8200234;253
0,1;0,005;00:13;45;45;00:31;20000;163,2598;91,23815;0,8241433;253
0,1;0,005;00:13;50;50;00:29;20000;163,2598;92,01615;0,8278762;253
0,05;0,005;00:13;5;5;00:55;20000;163,2598;75,9286;0,8052434;621
0,05;0,005;00:13;10;10;01:08;20000;163,2598;83,2768;0,8265309;621
0,05;0,005;00:13;15;15;01:06;20000;163,2598;86,69315;0,8340621;621
0,05;0,005;00:13;20;20;01:09;20000;163,2598;88,6043;0,8355697;621
0,05;0,005;00:13;25;25;00:58;20000;163,2598;90,50715;0,8430266;621
0,05;0,005;00:13;30;30;00:49;20000;163,2598;92,0186;0,8497995;621
0,05;0,005;00:13;35;35;00:53;20000;163,2598;93,48645;0,8568702;621
0,05;0,005;00:13;40;40;00:50;20000;163,2598;94,52385;0,8612431;621
0,05;0,005;00:13;45;45;00:55;20000;163,2598;95,45515;0,865456;621
0,05;0,005;00:13;50;50;00:52;20000;163,2598;96,2495;0,8692377;621
0;0,005;00:14;5;5;06:20;20000;163,2598;77,83855;0,830195;4540
0;0,005;00:14;10;10;05:01;20000;163,2598;85,3188;0,8509578;4540
0;0,005;00:14;15;15;04:26;20000;163,2598;88,8365;0,8585458;4540
0;0,005;00:14;20;20;04:11;20000;163,2598;90,822;0,8601024;4540
0;0,005;00:14;25;25;03:50;20000;163,2598;92,77285;0,8674844;4540
0;0,005;00:14;30;30;03:36;20000;163,2598;94,2746;0,8738409;4540
0;0,005;00:14;35;35;03:29;20000;163,2598;95,76255;0,8807145;4540
0;0,005;00:14;40;40;03:23;20000;163,2598;96,85105;0,8852754;4540
0;0,005;00:14;45;45;03:20;20000;163,2598;97,83305;0,8897098;4540
0;0,005;00:14;50;50;03:14;20000;163,2598;98,63245;0,8933315;4540
