MinThreshold;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,15;00:03;00:01;20000;161,5466;0,05295399;0,1076437;1
0,1;00:03;00:01;20000;161,5466;0,06792682;0,1398998;1
0,05;00:03;00:01;20000;161,5466;0,1017551;0,21634;2
0,04;00:03;00:01;20000;161,5466;0,1067172;0,2419617;2
0,03;00:03;00:01;20000;161,5466;0,1093906;0,2556142;3
0,02;00:03;00:02;20000;161,5466;0,1212932;0,2886849;4
0,01;00:03;00:02;20000;161,5466;0,1567118;0,3688113;8
0,005;00:03;00:03;20000;161,5466;0,1878769;0,4610239;17
0,001;00:03;00:04;20000;161,5466;0,2556674;0,6757873;81
0,0005;00:03;00:04;20000;161,5466;0,2778899;0,7533137;143
0,0004;00:03;00:04;20000;161,5466;0,2830326;0,7750182;170
0,0003;00:03;00:04;20000;161,5466;0,2884085;0,7979459;210
0,0002;00:03;00:04;20000;161,5466;0,2946972;0,8276063;281
0,0001;00:03;00:05;20000;161,5466;0,3031916;0,8700128;447
5E-05;00:03;00:05;20000;161,5466;0,3089071;0,9018605;702
4E-05;00:03;00:05;20000;161,5466;0,309996;0,9096824;810
3E-05;00:03;00:07;20000;161,5466;0,3117837;0,9201061;983
2E-05;00:03;00:06;20000;161,5466;0,3136368;0,9317185;1296
1,5E-05;00:03;00:07;20000;161,5466;0,3147297;0,9398577;1605
1E-05;00:03;00:09;20000;161,5466;0,3155496;0,9488004;2234
0;00:03;00:13;20000;161,5466;0,3168147;0,9612178;4729
