MinThreshold;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,15;00:16;00:03;20000;161,5466;0,132468;0,314716;9
0,1;00:17;00:04;20000;161,5466;0,1597192;0,3688113;16
0,05;00:17;00:03;20000;161,5466;0,1981201;0,4610239;40
0,04;00:19;00:25;20000;161,5466;0,2119797;0,4940931;54
0,03;00:23;00:05;20000;161,5466;0,2291807;0,5337428;77
0,02;00:23;00:04;20000;161,5466;0,249674;0,5886639;130
0,01;00:23;00:05;20000;161,5466;0,2766786;0,6757873;305
0,005;00:21;00:07;20000;161,5466;0,302294;0,7533137;679
0,001;00:17;00:13;20000;161,5466;0,3314835;0,8700128;4190
0,0005;00:17;00:22;20000;161,5466;0,3383516;0,9018605;8888
0,0004;00:17;00:25;20000;161,5466;0,3396912;0,9096824;12571
0,0003;00:16;00:41;20000;161,5466;0,3415296;0,9201061;22298
0,0002;00:20;00:53;20000;161,5466;0,3433601;0,9317185;27685
0,0001;00:14;06:09;20000;161,5466;0,3448599;0,9488004;156928
5E-05;00:14;06:03;20000;161,5466;0,345212;0,9612178;159424
4E-05;00:14;06:31;20000;161,5466;0,345212;0,9612178;159424
3E-05;00:16;08:32;20000;161,5466;0,345212;0,9612178;159424
2E-05;00:37;07:37;20000;161,5466;0,345212;0,9612178;159424
1,5E-05;00:16;06:25;20000;161,5466;0,345212;0,9612178;159424
1E-05;00:22;06:54;20000;161,5466;0,345212;0,9612178;159424
0;00:21;06:39;20000;161,5466;0,345212;0,9612178;159424
