RareWordFreq;SeqThreshold;TrainTime;LookupWords;LookupSeq;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage
0,15;0,005;00:13;5;5;00:14;20000;162,9828;69,5895;0,7282785
0,15;0,005;00:13;10;10;00:16;20000;162,9828;75,6672;0,7444211
0,15;0,005;00:13;15;15;00:17;20000;162,9828;78,7746;0,7515988
0,15;0,005;00:13;20;20;00:18;20000;162,9828;80,5241;0,7532624
0,15;0,005;00:13;25;25;00:19;20000;162,9828;82,35605;0,7614324
0,15;0,005;00:13;30;30;00:20;20000;162,9828;83,8129;0,7683898
0,15;0,005;00:13;35;35;00:22;20000;162,9828;85,08415;0,7745256
0,15;0,005;00:13;40;40;00:23;20000;162,9828;85,99665;0,7785554
0,15;0,005;00:13;45;45;00:24;20000;162,9828;86,84225;0,7825053
0,15;0,005;00:13;50;50;00:25;20000;162,9828;87,54565;0,7858934
0,1;0,005;00:13;5;5;00:28;20000;162,9828;73,1176;0,7699978
0,1;0,005;00:13;10;10;00:26;20000;162,9828;79,55665;0,7863933
0,1;0,005;00:13;15;15;00:25;20000;162,9828;82,7629;0,7934438
0,1;0,005;00:13;20;20;00:27;20000;162,9828;84,5586;0,7949595
0,1;0,005;00:13;25;25;00:29;20000;162,9828;86,45405;0,8029629
0,1;0,005;00:13;30;30;00:28;20000;162,9828;87,98365;0,8100728
0,1;0,005;00:13;35;35;00:29;20000;162,9828;89,32915;0,8164657
0,1;0,005;00:13;40;40;00:33;20000;162,9828;90,3163;0,8208612
0,1;0,005;00:13;45;45;00:31;20000;162,9828;91,25475;0,8252178
0,1;0,005;00:13;50;50;00:32;20000;162,9828;92,01915;0,8288235
0,05;0,005;00:13;5;5;01:01;20000;162,9828;76,42555;0,8102988
0,05;0,005;00:13;10;10;00:54;20000;162,9828;83,2273;0,8272799
0,05;0,005;00:13;15;15;00:57;20000;162,9828;86,68605;0,835138
0,05;0,005;00:13;20;20;01:00;20000;162,9828;88,5616;0,8363114
0,05;0,005;00:13;25;25;00:54;20000;162,9828;90,52305;0,8439595
0,05;0,005;00:13;30;30;00:57;20000;162,9828;92,0595;0,8509206
0,05;0,005;00:13;35;35;00:55;20000;162,9828;93,4617;0,8575028
0,05;0,005;00:13;40;40;00:55;20000;162,9828;94,50795;0,8621317
0,05;0,005;00:13;45;45;00:59;20000;162,9828;95,47935;0,866573
0,05;0,005;00:13;50;50;00:57;20000;162,9828;96,27195;0,8702859
0;0,005;00:13;5;5;06:54;20000;162,9828;78,3173;0,8351622
0;0,005;00:13;10;10;05:28;20000;162,9828;85,2545;0,8515842
0;0,005;00:13;15;15;04:53;20000;162,9828;88,82285;0,8595604
0;0,005;00:13;20;20;04:30;20000;162,9828;90,77535;0,8608437
0;0,005;00:13;25;25;04:10;20000;162,9828;92,7705;0,8682958
0;0,005;00:13;30;30;03:56;20000;162,9828;94,2999;0,8748075
0;0,005;00:13;35;35;03:47;20000;162,9828;95,73035;0,8812649
0;0,005;00:13;40;40;03:41;20000;162,9828;96,8327;0,8861037
0;0,005;00:13;45;45;03:37;20000;162,9828;97,84005;0,8906772
0;0,005;00:13;50;50;03:34;20000;162,9828;98,66445;0,8945411
