MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,15;0,1;01:14;00:02;20000;161,5466;0,05138953;0,1233594;9
0,15;0,2;01:13;00:02;20000;161,5466;0,05138953;0,1232484;9
0,15;0,3;01:13;00:02;20000;161,5466;0,04648629;0,1188259;5
0,15;0,4;01:13;00:01;20000;161,5466;0,03959298;0,09786244;3
0,15;0,5;01:13;00:01;20000;161,5466;0,03371589;0,07808903;2
0,1;0,1;01:16;00:02;20000;161,5466;0,06636232;0,1623247;19
0,1;0,2;01:15;00:02;20000;161,5466;0,06874809;0,1615258;14
0,1;0,3;01:16;00:02;20000;161,5466;0,05512335;0,1357997;6
0,1;0,4;01:15;00:01;20000;161,5466;0,04822995;0,1089961;3
0,1;0,5;01:16;00:01;20000;161,5466;0,03490867;0,08134501;2
0,05;0,1;01:24;00:04;20000;161,5466;0,1016254;0,2361596;59
0,05;0,2;01:24;00:03;20000;161,5466;0,09259042;0,2025866;18
0,05;0,3;01:24;00:02;20000;161,5466;0,06473289;0,1703553;9
0,05;0,4;01:24;00:01;20000;161,5466;0,04969391;0,1322921;5
0,05;0,5;01:24;00:01;20000;161,5466;0,03490867;0,101103;4
