MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,001;0,3;01:14;00:06;20000;161,5466;0,2368896;0,3417318;149
0,001;0,25;01:16;00:07;20000;161,5466;0,2598054;0,3820105;174
0,001;0,2;01:17;00:09;20000;161,5466;0,2735215;0,4152987;209
0,001;0,15;01:19;00:12;20000;161,5466;0,2886363;0,4589845;258
0,001;0,1;01:20;00:19;20000;161,5466;0,3058856;0,5059553;347
0,001;0,05;01:21;00:38;20000;161,5466;0,326795;0,5668654;636
0,001;0,04;01:22;00:47;20000;161,5466;0,3328964;0,5842904;819
0,001;0,03;01:24;01:09;20000;161,5466;0,3396749;0,6062852;1202
0,001;0,02;01:22;01:48;20000;161,5466;0,3487073;0,634918;2266
0,001;0,015;01:22;02:33;20000;161,5466;0,3543712;0,6532345;3809
0,001;0,01;01:22;03:56;20000;161,5466;0,3608359;0,6753629;8507
0,001;0,009;01:21;04:28;20000;161,5466;0,3620477;0,680114;10535
0,001;0,008;01:24;05:03;20000;161,5466;0,3631493;0,6848127;13334
0,001;0,007;01:20;05:44;20000;161,5466;0,3642094;0,6893001;17207
0,001;0,006;01:21;06:28;20000;161,5466;0,3652305;0,6933233;22514
0,001;0,0055;01:22;06:56;20000;161,5466;0,3655777;0,6949735;25805
0,001;0,005;01:21;07:14;20000;161,5466;0,365891;0,696481;29543
