MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb;DbSrcEntryCount;DbAllEntryCount
0,001;0,3;01:20;00:04;20000;161,5466;0,2368896;0;149;955;1246
0,001;0,25;01:22;00:05;20000;161,5466;0,2598054;0;174;1087;1602
0,001;0,2;01:22;00:07;20000;161,5466;0,2735215;0;209;1264;2160
0,001;0,15;01:22;00:09;20000;161,5466;0,2886363;0;258;1480;3164
0,001;0,1;01:22;00:14;20000;161,5466;0,3058856;0;347;1746;5726
0,001;0,05;01:21;00:29;20000;161,5466;0,326795;0;636;2122;17123
0,001;0,04;01:17;00:36;20000;161,5466;0,3328964;0;819;2211;25190
0,001;0,03;01:22;00:50;20000;161,5466;0,3396749;0;1202;2296;42585
0,001;0,02;01:22;01:19;20000;161,5466;0,3487073;0;2266;2347;91844
0,001;0,015;01:14;01:43;20000;161,5466;0,3543712;0;3809;2353;163625
0,001;0,01;01:13;02:43;20000;161,5466;0,3608359;0;8507;2353;382217
0,001;0,009;01:13;03:02;20000;161,5466;0,3620477;0;10535;2353;476597
0,001;0,008;01:13;03:26;20000;161,5466;0,3631493;0;13334;2353;606868
0,001;0,007;01:12;03:56;20000;161,5466;0,3642094;0;17207;2353;787145
0,001;0,006;01:15;04:31;20000;161,5466;0,3652305;0;22514;2353;1034163
0,001;0,0055;01:15;04:45;20000;161,5466;0,3655777;0;25805;2353;1187321
0,001;0,005;01:13;05:04;20000;161,5466;0,365891;0;29543;2353;1361253
