MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb;DbSrcEntryCount;DbAllEntryCount
0,001;0,3;3:15;0:05;20000;161,5466;0,2498549;0;264;1600;2904
0,001;0,25;3:15;0:06;20000;161,5466;0,2725784;0;319;1897;3760
0,001;0,2;3:13;0:08;20000;161,5466;0,2884859;0;405;2330;5258
0,001;0,15;3:13;0:11;20000;161,5466;0,3021723;0;525;2859;7861
0,001;0,1;3:12;0:18;20000;161,5466;0,318352;0;740;3524;14145
0,001;0,05;3:12;0:39;20000;161,5466;0,3393558;0;1405;4402;40406
0,001;0,04;3:13;0:51;20000;161,5466;0,3456288;0;1811;4566;58451
0,001;0,03;3:13;1:15;20000;161,5466;0,3530776;0;2670;4713;97591
0,001;0,02;3:13;2:04;20000;161,5466;0,3629787;0;5160;4780;213099
0,001;0,015;3:14;3:00;20000;161,5466;0,368984;0;9014;4785;392434
0,001;0,01;3:15;5:13;20000;161,5466;0,3754812;0;22266;4785;1009176
0,001;0,009;3:15;5:58;20000;161,5466;0,3766141;0;28426;4785;1295892
0,001;0,008;3:14;7:01;20000;161,5466;0,377748;0;37269;4785;1707443
0,001;0,007;3:19;7:50;20000;161,5466;0,3787209;0;49812;4785;2291208
0,001;0,006;3:16;8:50;20000;161,5466;0,3796124;0;67100;4785;3095775
0,001;0,0055;3:15;9:20;20000;161,5466;0,3798572;0;77854;4785;3596257
0,001;0,005;3:18;9:50;20000;161,5466;0,3800931;0;90025;4785;4162758
