MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,05;0,05;01:07;00:13;20000;157,3393;0,1062308;0,2581871;77
0,05;0,01;01:15;00:14;20000;157,3393;0,1062403;0,2581901;78
0,05;0,001;01:20;00:14;20000;157,3393;0,1062403;0,2581901;78
0,05;0,0001;01:23;00:14;20000;157,3393;0,1062403;0,2581901;78
0,01;0,05;02:09;00:59;20000;157,3393;0,1781171;0,4147401;413
0,01;0,01;02:11;01:57;20000;157,3393;0,1882819;0,4479923;3469
0,01;0,001;02:09;01:54;20000;157,3393;0,1882801;0,4479923;3693
0,01;0,0001;02:09;01:55;20000;157,3393;0,1882801;0,4479923;3696
0,005;0,05;02:56;01:14;20000;157,3393;0,2332914;0,485864;578
0,005;0,01;02:52;04:40;20000;157,3393;0,253426;0,5523737;11540
0,005;0,001;02:53;04:44;20000;157,3393;0,2534344;0,5524714;19047
0,005;0,0001;02:30;04:01;20000;157,3393;0,2534344;0,5524714;19123
