MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,001;0,3;01:21;00:06;20000;157,3393;0,2693706;0,4481488;203
0,001;0,25;01:22;00:07;20000;157,3393;0,2819577;0,4735501;231
0,001;0,2;01:23;00:09;20000;157,3393;0,2922526;0,5009086;262
0,001;0,15;01:25;00:11;20000;157,3393;0,3040593;0,532389;304
0,001;0,1;01:26;00:18;20000;157,3393;0,3157115;0,568252;381
0,001;0,05;01:27;00:41;20000;157,3393;0,3344754;0,6287749;658
0,001;0,04;01:27;00:58;20000;157,3393;0,3401484;0,6458805;854
0,001;0,03;01:28;01:20;20000;157,3393;0,3448966;0,6680794;1289
0,001;0,02;01:27;02:11;20000;157,3393;0,3516405;0,6933766;2536
0,001;0,015;01:28;03:00;20000;157,3393;0,3556552;0,7095314;4356
0,001;0,01;01:28;04:39;20000;157,3393;0,3598888;0,7291179;9718
0,001;0,009;01:27;05:13;20000;157,3393;0,3606607;0,7333997;11974
0,001;0,008;01:26;05:51;20000;157,3393;0,3614443;0,73771;15071
0,001;0,007;01:26;06:35;20000;157,3393;0,3621942;0,7419112;19326
0,001;0,006;01:28;07:28;20000;157,3393;0,3628851;0,7457592;25095
0,001;0,0055;01:29;07:49;20000;157,3393;0,363106;0,7473296;28634
0,001;0,005;01:21;07:00;20000;157,3393;0,3633235;0,7487754;32642
