DbFileName;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage
db-0.dat;00:08;20000;159,4151;0,2653179;0
db-1.dat;00:10;20000;159,4151;0,2799721;0
db-2.dat;00:12;20000;159,4151;0,2921781;0
db-3.dat;00:17;20000;159,4151;0,3047143;0
db-4.dat;00:28;20000;159,4151;0,3225769;0
db-5.dat;01:05;20000;159,4151;0,341385;0
db-6.dat;01:25;20000;159,4151;0,3472371;0
db-7.dat;02:01;20000;159,4151;0,354056;0
db-8.dat;03:22;20000;159,4151;0,362064;0
db-9.dat;04:57;20000;159,4151;0,3665767;0
db-10.dat;08:25;20000;159,4151;0,3714885;0
db-11.dat;09:29;20000;159,4151;0,3722394;0
db-12.dat;10:50;20000;159,4151;0,3728972;0
db-13.dat;12:16;20000;159,4151;0,3737516;0
db-14.dat;13:45;20000;159,4151;0,3742379;0
db-15.dat;14:26;20000;159,4151;0,3745301;0
db-16.dat;15:11;20000;159,4151;0,3746347;0
