DbFileName;LoadTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage
db-0.dat;00:00;00:07;20000;159,4151;0,2742219;0
db-1.dat;00:00;00:09;20000;159,4151;0,2891366;0
db-2.dat;00:00;00:11;20000;159,4151;0,3010171;0
db-3.dat;00:00;00:15;20000;159,4151;0,3136542;0
db-4.dat;00:00;00:26;20000;159,4151;0,3315518;0
db-5.dat;00:00;00:59;20000;159,4151;0,3506778;0
db-6.dat;00:00;01:19;20000;159,4151;0,3565595;0
db-7.dat;00:01;01:54;20000;159,4151;0,3633399;0
db-8.dat;00:05;03:13;20000;159,4151;0,371371;0
db-9.dat;00:17;04:44;20000;159,4151;0,3758851;0
db-10.dat;02:03;08:11;20000;159,4151;0,3808886;0
db-11.dat;03:29;09:17;20000;159,4151;0,3816784;0
db-12.dat;06:18;10:40;20000;159,4151;0,3823128;0
db-13.dat;11:47;12:07;20000;159,4151;0,3832074;0
db-14.dat;22:39;13:40;20000;159,4151;0,3837081;0
db-15.dat;31:23;14:27;20000;159,4151;0,3839927;0
db-16.dat;42:17;15:04;20000;159,4151;0,3841197;0
