MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb;DbSrcEntryCount;DbAllEntryCount
0,001;0,3;08:19;00:07;20000;159,4151;0,2741423;0;541;2638;9106
0,001;0,25;08:17;00:09;20000;159,4151;0,2890646;0;659;3121;11656
0,001;0,2;08:17;00:11;20000;159,4151;0,3009403;0;804;3638;15315
0,001;0,15;08:16;00:15;20000;159,4151;0,3136209;0;1004;4212;21199
0,001;0,1;08:17;00:25;20000;159,4151;0,3314584;0;1385;4908;34860
0,001;0,05;08:17;00:59;20000;159,4151;0,3505247;0;2585;5601;86809
0,001;0,04;08:17;01:18;20000;159,4151;0,3563973;0;3291;5740;118907
0,001;0,03;08:17;01:54;20000;159,4151;0,3631774;0;4755;5816;186597
0,001;0,02;08:18;03:14;20000;159,4151;0,3712045;0;9011;5845;384501
0,001;0,015;08:20;04:48;20000;159,4151;0,3756704;0;15613;5849;691713
0,001;0,01;08:19;08:22;20000;159,4151;0,3806629;0;38434;5849;1753822
0,001;0,009;08:18;09:30;20000;159,4151;0,3814516;0;49129;5849;2251601
0,001;0,008;08:18;11:01;20000;159,4151;0,3822088;0;64563;5849;2969914
0,001;0,007;08:23;12:36;20000;159,4151;0,3830214;0;86593;5849;3995213
0,001;0,006;08:21;14:14;20000;159,4151;0,3835887;0;116768;5849;5399587
0,001;0,0055;08:34;14:51;20000;159,4151;0,3838057;0;135276;5849;6261003
0,001;0,005;08:43;15:41;20000;159,4151;0,3839398;0;156227;5849;7236108
