MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb;DbSrcEntryCount;DbAllEntryCount
0,001;0,3;17:01;00:17;20000;159,4151;0,2236657;0;1793;8359;34161
0,001;0,25;16:55;00:20;20000;159,4151;0,2375438;0;2072;9073;43065
0,001;0,2;16:47;00:26;20000;159,4151;0,250505;0;2441;9707;56629
0,001;0,15;16:44;00:40;20000;159,4151;0,2629074;0;2997;10269;79421
0,001;0,1;17:21;01:09;20000;159,4151;0,2801516;0;4168;10561;132226
0,001;0,05;17:45;02:46;20000;159,4151;0,2994768;0;8463;10618;331607
0,001;0,04;17:46;03:39;20000;159,4151;0,3060997;0;10977;10618;448589
0,001;0,03;17:30;05:15;20000;159,4151;0,3130397;0;16011;10618;682900
0,001;0,02;17:05;08:44;20000;159,4151;0,3210373;0;29926;10618;1330506
0,001;0,015;17:00;12:46;20000;159,4151;0,325844;0;50761;10618;2300199
0,001;0,01;16:59;20:31;20000;159,4151;0,3304694;0;122105;10618;5620706
0,001;0,009;17:22;23:32;20000;159,4151;0,3312262;0;155533;10618;7176451
