MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,05;0,1;01:35;00:05;20000;159,4151;0,07508053;0,2608558;63
0,05;0,05;01:38;00:04;20000;159,4151;0,07508053;0,261305;93
0,05;0,01;01:34;00:04;20000;159,4151;0,07508053;0,2613079;96
0,05;0,005;01:33;00:04;20000;159,4151;0,07508053;0,2613079;96
0,05;0,001;01:34;00:04;20000;159,4151;0,07508053;0,2613079;96
0,01;0,1;02:26;00:06;20000;159,4151;0,09609547;0,3794774;143
0,01;0,05;02:27;00:11;20000;159,4151;0,1110307;0,4228652;456
0,01;0,01;02:26;00:25;20000;159,4151;0,1254042;0,453181;3847
0,01;0,005;02:27;00:25;20000;159,4151;0,1254042;0,453181;4058
0,01;0,001;02:26;00:25;20000;159,4151;0,1254042;0,453181;4094
0,005;0,1;03:14;00:07;20000;159,4151;0,08980383;0,4426193;234
0,005;0,05;03:12;00:13;20000;159,4151;0,1158431;0,4914449;625
0,005;0,01;03:14;00:57;20000;159,4151;0,1401326;0,5593306;12138
0,005;0,005;03:14;01:03;20000;159,4151;0,1401326;0,5594043;18155
0,005;0,001;03:14;01:05;20000;159,4151;0,1401326;0,559409;19962
