MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,001;0,3;01:25;00:07;20000;159,4151;0,2537617;0,4147668;197
0,001;0,25;01:25;00:08;20000;159,4151;0,2666236;0,4406832;226
0,001;0,2;01:26;00:11;20000;159,4151;0,2725522;0,4828195;259
0,001;0,15;01:28;00:14;20000;159,4151;0,2799993;0,5218141;306
0,001;0,1;01:30;00:22;20000;159,4151;0,2937004;0,567955;393
0,001;0,05;01:31;00:47;20000;159,4151;0,3095665;0,6309721;700
0,001;0,04;01:31;01:03;20000;159,4151;0,3145915;0,6487671;909
0,001;0,03;01:32;01:26;20000;159,4151;0,3204667;0,6702895;1363
0,001;0,02;01:32;02:18;20000;159,4151;0,3275112;0,6994331;2636
0,001;0,015;01:32;03:11;20000;159,4151;0,3317072;0,7169867;4479
0,001;0,01;01:30;04:59;20000;159,4151;0,3363184;0,7371017;9965
0,001;0,009;01:32;05:34;20000;159,4151;0,3371056;0,7413474;12288
0,001;0,008;01:30;06:15;20000;159,4151;0,3378724;0,7457421;15464
0,001;0,007;01:30;07:00;20000;159,4151;0,3386721;0,7502635;19828
0,001;0,006;01:32;07:56;20000;159,4151;0,3393098;0,7544425;25719
0,001;0,0055;01:29;07:49;20000;159,4151;0,3395434;0,7562456;29324
0,001;0,005;01:18;07:00;20000;159,4151;0,3397507;0,7577386;33416
