MinThreshold;MinScore;TrainTime;DbFileName;DbSizeInKb;DbSrcEntryCount;DbAllEntryCount
0,001;0,3;10:59;db-0.dat;572664;2656;9799
0,001;0,25;04:32;db-1.dat;695374;3139;12460
0,001;0,2;04:32;db-2.dat;847370;3656;16241
0,001;0,15;04:32;db-3.dat;1056378;4230;22356
0,001;0,1;04:32;db-4.dat;1457205;4926;36499
0,001;0,05;04:33;db-5.dat;2717104;5619;89823
0,001;0,04;04:32;db-6.dat;3447477;5758;122276
0,001;0,03;04:32;db-7.dat;4960468;5834;190602
0,001;0,02;04:33;db-8.dat;9347830;5863;389820
0,001;0,015;04:33;db-9.dat;16139409;5867;698452
0,001;0,01;04:34;db-10.dat;39577636;5867;1763750
0,001;0,009;04:34;db-11.dat;50554818;5867;2262669
0,001;0,008;04:34;db-12.dat;66399680;5867;2982826
0,001;0,007;04:36;db-13.dat;89010075;5867;4010466
0,001;0,006;04:36;db-14.dat;119964930;5867;5417368
0,001;0,0055;04:37;db-15.dat;138952731;5867;6280403
0,001;0,005;04:38;db-16.dat;160445717;5867;7257293
