DbFileName;LoadTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage
db-0.dat;00:00;00:03;20000;147,9342;0,2112864;0
db-1.dat;00:00;00:04;20000;147,9342;0,2280192;0
db-2.dat;00:00;00:05;20000;147,9342;0,2418132;0
db-3.dat;00:00;00:07;20000;147,9342;0,2585576;0
db-4.dat;00:00;00:12;20000;147,9342;0,2755466;0
db-5.dat;00:00;00:29;20000;147,9342;0,2976727;0
db-6.dat;00:00;00:39;20000;147,9342;0,3052061;0
db-7.dat;00:00;00:57;20000;147,9342;0,3123298;0
db-8.dat;00:01;01:36;20000;147,9342;0,3199038;0
db-9.dat;00:04;02:20;20000;147,9342;0,3231837;0
db-10.dat;00:25;03:57;20000;147,9342;0,3264888;0
db-11.dat;00:43;04:27;20000;147,9342;0,327125;0
db-12.dat;01:17;04:59;20000;147,9342;0,3278134;0
db-13.dat;02:12;05:30;20000;147,9342;0,3282721;0
db-14.dat;04:14;06:15;20000;147,9342;0,3287147;0
db-15.dat;05:50;06:40;20000;147,9342;0,328901;0
db-16.dat;07:49;06:39;20000;147,9342;0,3290411;0
