MinThreshold;MinScore;TrainTime;DbFileName;DbSizeInKb;DbSrcEntryCount;DbAllEntryCount
0,001;0,3;00:27;db-0.dat;141;911;1123
0,001;0,25;00:02;db-1.dat;162;1028;1383
0,001;0,2;00:02;db-2.dat;189;1169;1790
0,001;0,15;00:02;db-3.dat;232;1370;2554
0,001;0,1;00:02;db-4.dat;298;1613;4189
0,001;0,05;00:02;db-5.dat;516;2025;12138
0,001;0,04;00:02;db-6.dat;660;2145;18215
0,001;0,03;00:02;db-7.dat;954;2244;31428
0,001;0,02;00:02;db-8.dat;1807;2305;70804
0,001;0,015;00:02;db-9.dat;3054;2313;128762
0,001;0,01;00:02;db-10.dat;6921;2313;308771
0,001;0,009;00:02;db-11.dat;8602;2313;386972
0,001;0,008;00:02;db-12.dat;10938;2313;495687
0,001;0,007;00:02;db-13.dat;14225;2313;648693
0,001;0,006;00:02;db-14.dat;18682;2313;856086
0,001;0,0055;00:02;db-15.dat;21445;2313;984704
0,001;0,005;00:02;db-16.dat;24582;2313;1130715
