RareWordFreq;SeqThreshold;TrainTime;LookupWords;LookupSeq;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,15;0,005;00:15;5;5;00:09;20000;163,3349;62,5669;0,6775222;99
0,15;0,005;00:15;10;10;00:11;20000;163,3349;69,04005;0,6954621;99
0,15;0,005;00:15;15;15;00:11;20000;163,3349;70,9218;0,6962305;99
0,15;0,005;00:15;20;20;00:12;20000;163,3349;73,64525;0,7083192;99
0,15;0,005;00:15;25;25;00:13;20000;163,3349;75,9079;0,7199674;99
0,15;0,005;00:15;30;30;00:15;20000;163,3349;77,1902;0,7254477;99
0,15;0,005;00:15;35;35;00:16;20000;163,3349;78,4036;0,7313518;99
0,15;0,005;00:15;40;40;00:18;20000;163,3349;79,7768;0,7384448;99
0,15;0,005;00:15;45;45;00:19;20000;163,3349;80,6433;0,7427949;99
0,15;0,005;00:15;50;50;00:19;20000;163,3349;81,55025;0,7473527;99
0,1;0,005;00:15;5;5;00:15;20000;163,3349;65,7902;0,7202673;165
0,1;0,005;00:15;10;10;00:14;20000;163,3349;72,6933;0,7391988;165
0,1;0,005;00:15;15;15;00:15;20000;163,3349;74,55745;0,7378435;165
0,1;0,005;00:15;20;20;00:16;20000;163,3349;77,4761;0,7505386;165
0,1;0,005;00:15;25;25;00:18;20000;163,3349;79,8766;0,7629946;165
0,1;0,005;00:15;30;30;00:19;20000;163,3349;81,30725;0,7691027;165
0,1;0,005;00:15;35;35;00:23;20000;163,3349;82,6162;0,7753671;165
0,1;0,005;00:15;40;40;00:21;20000;163,3349;84,0499;0,7824689;165
0,1;0,005;00:15;45;45;00:22;20000;163,3349;84,9924;0,7870137;165
0,1;0,005;00:15;50;50;00:23;20000;163,3349;85,9631;0,7917023;165
0,05;0,005;00:15;5;5;00:28;20000;163,3349;68,63425;0,7615811;346
0,05;0,005;00:15;10;10;00:26;20000;163,3349;75,9243;0,780735;346
0,05;0,005;00:15;15;15;00:26;20000;163,3349;77,7816;0,7771248;346
0,05;0,005;00:15;20;20;00:30;20000;163,3349;80,76285;0,7896257;346
0,05;0,005;00:15;25;25;00:29;20000;163,3349;83,1956;0,8014957;346
0,05;0,005;00:15;30;30;00:30;20000;163,3349;84,7293;0,8080537;346
0,05;0,005;00:15;35;35;00:31;20000;163,3349;86,09845;0,8144156;346
0,05;0,005;00:15;40;40;00:32;20000;163,3349;87,61975;0,8218893;346
0,05;0,005;00:15;45;45;00:33;20000;163,3349;88,63745;0,8269097;346
0,05;0,005;00:15;50;50;00:34;20000;163,3349;89,63815;0,831746;346
0;0,005;00:15;5;5;03:00;20000;163,3349;70,67045;0,7947011;2692
0;0,005;00:15;10;10;02:20;20000;163,3349;78,2889;0,8141885;2692
0;0,005;00:15;15;15;01:55;20000;163,3349;80,16005;0,8086407;2692
0;0,005;00:15;20;20;01:47;20000;163,3349;83,1964;0,8206839;2692
0;0,005;00:15;25;25;01:39;20000;163,3349;85,64165;0,8317351;2692
0;0,005;00:15;30;30;01:36;20000;163,3349;87,2491;0,8384347;2692
0;0,005;00:15;35;35;01:34;20000;163,3349;88,65085;0,8447555;2692
0;0,005;00:15;40;40;01:32;20000;163,3349;90,215;0,8523033;2692
0;0,005;00:15;45;45;01:31;20000;163,3349;91,27435;0,8574766;2692
0;0,005;00:15;50;50;01:29;20000;163,3349;92,31565;0,8624639;2692
