MinThreshold;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,0005;00:18;00:06;20000;157,3393;0,2555147;0,8077972;443
0,0004;00:17;00:06;20000;157,3393;0,2593955;0,8276041;556
0,0003;00:18;00:15;20000;157,3393;0,262898;0,8497722;744
0,0002;00:27;00:21;20000;157,3393;0,2675582;0,8774866;1117
0,0001;01:06;00:11;20000;157,3393;0,2734046;0,9133267;2206
5E-05;00:32;00:26;20000;157,3393;0,2775502;0,9386945;4377
4E-05;00:27;00:19;20000;157,3393;0,2784266;0,9451925;5484
3E-05;00:20;00:23;20000;157,3393;0,2792977;0,9526722;7419
2E-05;00:18;00:38;20000;157,3393;0,2805356;0,9614139;11620
1E-05;00:19;01:23;20000;157,3393;0,2819472;0,9721914;28786
