MinThreshold;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,15;00:03;00:01;20000;157,3393;0,07076783;0,1481936;1
0,1;00:03;00:01;20000;157,3393;0,07777449;0,1645223;1
0,05;00:03;00:01;20000;157,3393;0,1051962;0,2080966;1
0,04;00:03;00:01;20000;157,3393;0,102144;0,2199927;2
0,03;00:03;00:02;20000;157,3393;0,09773408;0,2451291;2
0,02;00:03;00:02;20000;157,3393;0,1078687;0,2855449;3
0,01;00:03;00:03;20000;157,3393;0,1445223;0,3983338;9
0,005;00:03;00:03;20000;157,3393;0,1771346;0,5131434;20
0,001;00:03;00:04;20000;157,3393;0,2350432;0,7404619;85
0,0005;00:03;00:04;20000;157,3393;0,2483948;0,8077972;141
0,0004;00:03;00:04;20000;157,3393;0,251646;0,8276041;167
0,0003;00:03;00:05;20000;157,3393;0,2548877;0,8497722;203
0,0002;00:03;00:05;20000;157,3393;0,2588868;0,8774866;268
0,0001;00:03;00:06;20000;157,3393;0,2635739;0,9133267;414
5E-05;00:03;00:06;20000;157,3393;0,2669685;0,9386945;617
4E-05;00:03;00:08;20000;157,3393;0,2676645;0,9451925;699
3E-05;00:03;00:07;20000;157,3393;0,2684471;0,9526722;823
2E-05;00:03;00:08;20000;157,3393;0,2692931;0,9614139;1041
1,5E-05;00:03;00:10;20000;157,3393;0,2699805;0,9664673;1240
1E-05;00:03;00:09;20000;157,3393;0,2705913;0,9721914;1620
0;00:03;00:12;20000;157,3393;0,2711585;0,979364;2952
