MinThreshold;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,15;00:18;00:03;20000;157,3393;0,1341439;0,331656;14
0,1;00:18;00:04;20000;157,3393;0,1535708;0,3983338;26
0,05;00:19;00:05;20000;157,3393;0,1922764;0,5131434;65
0,04;00:44;00:07;20000;157,3393;0,201884;0,5433348;89
0,03;00:20;00:11;20000;157,3393;0,2160072;0,5859713;128
0,02;00:19;00:11;20000;157,3393;0,233127;0,6504478;208
0,01;00:18;00:11;20000;157,3393;0,2565348;0,7404619;457
0,005;00:19;00:07;20000;157,3393;0,2726322;0,8077972;959
0,001;00:18;00:20;20000;157,3393;0,2916962;0,9133267;5169
0,0005;00:18;00:33;20000;157,3393;0,2959764;0,9386945;10229
0,0004;00:19;00:40;20000;157,3393;0,2972848;0,9451925;14179
0,0003;00:22;01:12;20000;157,3393;0,2984277;0,9526722;24041
0,0002;00:19;01:27;20000;157,3393;0,2994086;0,9614139;28207
0,0001;00:17;07:10;20000;157,3393;0,2999905;0,9721914;124098
5E-05;00:19;07:09;20000;157,3393;0,300437;0,979364;125431
4E-05;00:22;07:23;20000;157,3393;0,300437;0,979364;125431
3E-05;01:34;09:16;20000;157,3393;0,300437;0,979364;125431
2E-05;00:39;07:45;20000;157,3393;0,300437;0,979364;125431
1,5E-05;00:21;08:23;20000;157,3393;0,300437;0,979364;125431
1E-05;00:18;07:01;20000;157,3393;0,300437;0,979364;125431
0;00:15;06:10;20000;157,3393;0,300437;0,979364;125431
