MinThreshold;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,15;00:02;00:00;20000;142,7916;0,07946505;0,1703277;1
0,1;00:02;00:01;20000;142,7916;0,08936693;0,1993709;1
0,05;00:02;00:01;20000;142,7916;0,1152841;0,2644412;2
0,04;00:02;00:01;20000;142,7916;0,1230305;0,2854329;2
0,03;00:02;00:01;20000;142,7916;0,1312338;0,3192246;3
0,02;00:02;00:01;20000;142,7916;0,1418936;0,3646786;4
0,01;00:02;00:02;20000;142,7916;0,180117;0,4740413;9
0,005;00:02;00:02;20000;142,7916;0,2119461;0,5790569;19
0,001;00:02;00:03;20000;142,7916;0,2617253;0,8064913;81
0,0005;00:02;00:03;20000;142,7916;0,2725042;0,8640071;127
0,0004;00:02;00:03;20000;142,7916;0,2748287;0,878206;146
0,0003;00:02;00:03;20000;142,7916;0,2780122;0,8953812;173
0,0002;00:02;00:03;20000;142,7916;0,281235;0,9157416;220
0,0001;00:02;00:03;20000;142,7916;0,2860671;0,941695;316
5E-05;00:02;00:03;20000;142,7916;0,2887474;0,9582256;447
4E-05;00:02;00:03;20000;142,7916;0,2894393;0,9625973;498
3E-05;00:02;00:04;20000;142,7916;0,2899933;0,9669229;573
2E-05;00:02;00:04;20000;142,7916;0,2908809;0,9724427;707
1,5E-05;00:02;00:04;20000;142,7916;0,2912022;0,9755524;836
1E-05;00:02;00:04;20000;142,7916;0,2918752;0,9792773;1091
0;00:02;00:06;20000;142,7916;0,2924276;0,9843322;2058
