MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,001;0,3;01:45;00:05;20000;142,7916;0,2800118;0,4425398;200
0,001;0,25;01:44;00:06;20000;142,7916;0,294151;0,4779666;231
0,001;0,2;01:43;00:07;20000;142,7916;0,3046743;0,5113261;267
0,001;0,15;01:41;00:09;20000;142,7916;0,3198561;0,5449883;315
0,001;0,1;01:43;00:15;20000;142,7916;0,3317494;0,583905;402
0,001;0,05;01:43;00:30;20000;142,7916;0,3509506;0,6505212;708
0,001;0,04;01:50;00:42;20000;142,7916;0,35677;0,6705863;917
0,001;0,03;01:51;00:59;20000;142,7916;0,3641341;0,6956369;1372
0,001;0,02;01:52;01:34;20000;142,7916;0,3725168;0,7294039;2645
0,001;0,015;01:53;02:11;20000;142,7916;0,3765085;0,749933;4488
0,001;0,01;01:53;03:25;20000;142,7916;0,3816084;0,7758716;9974
0,001;0,009;01:52;03:48;20000;142,7916;0,3827404;0,7819445;12297
0,001;0,008;01:47;04:09;20000;142,7916;0,383791;0,7877881;15474
0,001;0,007;01:53;05:17;20000;142,7916;0,38481;0,7932491;19838
0,001;0,006;01:54;06:04;20000;142,7916;0,3856878;0,7980282;25729
0,001;0,0055;01:53;06:27;20000;142,7916;0,3860292;0,8001529;29333
0,001;0,005;01:53;06:52;20000;142,7916;0,3863573;0,8019645;33425
