MinThreshold;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,15;00:12;00:01;20000;142,7916;0,07605121;0,1703277;1
0,1;00:11;00:01;20000;142,7916;0,06571155;0,1993709;1
0,05;00:11;00:01;20000;142,7916;0,03991414;0,2644412;2
0,04;00:11;00:01;20000;142,7916;0,04241097;0,2854329;3
0,03;00:11;00:01;20000;142,7916;0,0969109;0,3192246;4
0,02;00:11;00:02;20000;142,7916;0,109515;0,3646786;6
0,01;00:11;00:02;20000;142,7916;0,1558782;0,4740413;14
0,005;00:11;00:03;20000;142,7916;0,1883665;0,5790569;32
0,001;00:11;00:04;20000;142,7916;0,2401088;0,8064913;203
0,0005;00:11;00:04;20000;142,7916;0,2502122;0,8640071;409
0,0004;00:11;00:04;20000;142,7916;0,2504672;0,878206;513
0,0003;00:11;00:05;20000;142,7916;0,2501096;0,8953812;685
0,0002;00:11;00:05;20000;142,7916;0,2510101;0,9157416;1029
0,0001;00:11;00:07;20000;142,7916;0,2533396;0,941695;2051
5E-05;00:11;00:10;20000;142,7916;0,2551295;0,9582256;4114
4E-05;00:11;00:12;20000;142,7916;0,2556356;0,9625973;5191
3E-05;00:11;00:15;20000;142,7916;0,2558878;0,9669229;7034
2E-05;00:11;00:22;20000;142,7916;0,2558402;0,9724427;11092
1,5E-05;00:11;00:31;20000;142,7916;0,2555976;0,9755524;15765
1E-05;00:11;00:57;20000;142,7916;0,255115;0,9792773;27814
0;00:12;05:51;20000;142,7916;0,2532095;0,9843322;117033
