MinThreshold;MinScore;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,001;0,3;07:01;00:09;20000;142,7916;0,2972696;0,4568456;481
0,001;0,25;06:49;00:11;20000;142,7916;0,3107463;0,4910432;587
0,001;0,2;06:57;00:14;20000;142,7916;0,3229869;0,5219112;721
0,001;0,15;06:57;00:18;20000;142,7916;0,3387077;0,5534285;896
0,001;0,1;06:37;00:25;20000;142,7916;0,3540161;0,590645;1215
0,001;0,05;06:19;01:04;20000;142,7916;0,3748005;0,6549149;2242
0,001;0,04;06:21;01:18;20000;142,7916;0,3811455;0,6746534;2884
0,001;0,03;06:14;01:55;20000;142,7916;0,389122;0,6995863;4243
0,001;0,02;06:20;03:09;20000;142,7916;0,3985737;0,7332076;8258
0,001;0,015;06:16;04:56;20000;142,7916;0,4036546;0,7541726;14540
0,001;0,01;06:32;09:26;20000;142,7916;0,4098078;0,7803549;36231
0,001;0,009;06:33;11:20;20000;142,7916;0,4110228;0,7861971;46373
0,001;0,008;06:44;12:38;20000;142,7916;0,4120733;0,7916033;61003
0,001;0,007;06:35;14:47;20000;142,7916;0,4130397;0,7963204;81859
0,001;0,006;07:08;15:55;20000;142,7916;0,413887;0,8002358;110472
0,001;0,0055;06:52;17:21;20000;142,7916;0,4141406;0,8017341;128041
0,001;0,005;06:48;18:20;20000;142,7916;0,41443;0,8031549;147942
