MinThreshold;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,0005;00:18;00:06;20000;159,4151;0,2371188;0,8237032;447
0,0004;00:18;00:06;20000;159,4151;0,2409506;0,8431791;561
0,0003;00:19;00:15;20000;159,4151;0,2447066;0,8637159;747
0,0002;00:27;00:21;20000;159,4151;0,2493833;0,8912522;1119
0,0001;01:06;00:10;20000;159,4151;0,255762;0,9259697;2254
5E-05;00:33;00:24;20000;159,4151;0,2597532;0,9491709;4552
4E-05;00:28;00:17;20000;159,4151;0,2604851;0,9543588;5750
3E-05;00:18;00:22;20000;159,4151;0,2619029;0,9608933;7804
2E-05;00:17;00:32;20000;159,4151;0,2628705;0,9678489;12292
1E-05;00:20;01:23;20000;159,4151;0,2642754;0,9774091;30719
