MinThreshold;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,15;00:03;00:01;20000;159,4151;0,05175507;0,1347589;1
0,1;00:03;00:01;20000;159,4151;0,05874861;0,1523599;1
0,05;00:03;00:01;20000;159,4151;0,07984781;0,2237885;2
0,04;00:03;00:02;20000;159,4151;0,09279479;0,2506563;2
0,03;00:03;00:02;20000;159,4151;0,09428494;0,271637;3
0,02;00:03;00:02;20000;159,4151;0,1064293;0,3158844;4
0,01;00:03;00:03;20000;159,4151;0,1397788;0,4180281;9
0,005;00:03;00:03;20000;159,4151;0,1678689;0,524196;20
0,001;00:03;00:04;20000;159,4151;0,2235557;0,7526479;88
0,0005;00:03;00:04;20000;159,4151;0,2374017;0,8237032;148
0,0004;00:03;00:04;20000;159,4151;0,2408025;0,8431791;175
0,0003;00:03;00:05;20000;159,4151;0,2440354;0,8637159;211
0,0002;00:03;00:05;20000;159,4151;0,2480748;0,8912522;276
0,0001;00:03;00:05;20000;159,4151;0,2533606;0,9259697;417
5E-05;00:03;00:06;20000;159,4151;0,2565086;0,9491709;609
4E-05;00:04;00:06;20000;159,4151;0,2570991;0,9543588;683
3E-05;00:03;00:06;20000;159,4151;0,2581587;0,9608933;792
2E-05;00:03;00:07;20000;159,4151;0,2588788;0,9678489;982
1,5E-05;00:04;00:08;20000;159,4151;0,2595044;0,9723939;1157
1E-05;00:04;00:08;20000;159,4151;0,26007;0,9774091;1488
0;00:03;00:09;20000;159,4151;0,2607061;0,9838367;2657
