MinThreshold;TrainTime;EvalTime;EvalSentenceCnt;AvgSentenceLength;AvgKeyStrokeSave;AvgCoverage;DbSizeInKb
0,15;00:19;00:01;20000;159,4151;0,05649551;0,1347589;1
0,1;00:19;00:01;20000;159,4151;0,06537018;0,1523599;1
0,05;00:19;00:04;20000;159,4151;0,07513453;0,2237885;3
0,04;00:21;00:03;20000;159,4151;0,08786961;0,2506563;4
0,03;00:18;00:03;20000;159,4151;0,09696931;0,271637;6
0,02;00:19;00:04;20000;159,4151;0,1101922;0,3158844;10
0,01;00:17;00:03;20000;159,4151;0,1454735;0,4180281;25
0,005;00:19;00:04;20000;159,4151;0,1794325;0,524196;64
0,001;00:19;00:07;20000;159,4151;0,2445886;0,7526479;449
0,0005;00:19;00:11;20000;159,4151;0,2620651;0,8237032;952
0,0004;00:18;00:12;20000;159,4151;0,2668166;0,8431791;1216
0,0003;00:20;00:10;20000;159,4151;0,2715913;0,8637159;1679
0,0002;00:19;00:12;20000;159,4151;0,2768524;0,8912522;2543
0,0001;00:24;00:19;20000;159,4151;0,283587;0,9259697;5429
5E-05;00:18;00:44;20000;159,4151;0,2880905;0,9491709;10883
4E-05;00:27;02:13;20000;159,4151;0,2892064;0,9543588;15173
3E-05;00:21;01:29;20000;159,4151;0,2904122;0,9608933;25913
2E-05;00:19;01:42;20000;159,4151;0,2914087;0,9678489;30212
1,5E-05;00:18;06:33;20000;159,4151;0,2921247;0,9723939;106885
1E-05;00:22;08:14;20000;159,4151;0,2923052;0,9774091;128320
0;00:19;07:27;20000;159,4151;0,2927634;0,9838367;129488
